Type,Name,Date Added,Modified History,Description,,,Keywords Tvesha Desai's Additions ,Sources,Deletations ,Jermin deletions ,Hirans deletions,Jessica Deletions,Jessica Additions,Jessica-Source
Theme,CORRUPTION,13/10/13,13/10/13,"Corruption, kickbacks, embezzling, profiteering, etc",,,"Soliciting unlawful compensation,Misuse of confidential information,Unlawful solicitation, Unlawful acceptance of compensation,Disclosure of information,Bribing,Deceit,Improper disclosure of bid or proposal,Misuse of public records ",https://www.ncsl.org/research/ethics/50-state-chart-criminal-penalties-for-public-corr.aspx,,None,None,None,,
Theme,CRIME_CARTELS,13/10/13,13/10/13,"Primarily focused around mentions of drug cartels, drug corridors, etc. Does not currently have a list of cartels, just captures general discussion of them",,,"Street Gangs, Prison Gangs,Motorcycle Gangs",https://www.whitehouse.gov/wp-content/uploads/2022/04/National-Drug-Control-2022Strategy.pdf,,None,None,None,,
Theme,CRIME_COMMON_ROBBERY,13/10/13,13/10/13,"Discussion of general crime like pickpocketing, robbery, street criminals, etc",,,,,Repeated,NP,,None,,
Theme,CRIME_ILLEGAL_DRUGS,13/10/13,13/10/13,Mentions of illegal drugs,,,,,Repeated,NP,,None,,
Theme,CURFEW,13/10/13,13/10/13,Discussion of any curfew,,,"Probation Curfew,Central Supervision,Perceptual Detterence,Crime Control
",https://www.ojp.gov/pdffiles1/nij/grants/210684.pdf,,None,"Sanction, Implementation",None,,
Theme,CYBER_ATTACK,13/10/13,13/10/13,"Any discussion of cyberwarfare, cyberattacks, phishing, hacking, hacktivists, viruses, etc",,,"Organized criminals,criminal groups,Professional hackers,State-sponsored actors
Amateur hackers,Hacktivists,IT services To accept financial payments",https://www.ibm.com/topics/cyber-attack,,None,None,None,,
Theme,DEATH_PENALTY,13/10/13,13/10/13,From general discussion of capital punishment to actual mentions of death sentences,,,"Death Penalty,Detterence,Lethal Injection, Death Sentence",https://www.law.cornell.edu/wex/death_penalty,,None,None,None,,
Theme,DEFECTION,13/10/13,13/10/13,Any discussion of defection or defectors,,,,,Not Valid,NP,,None,,
Theme,DELAY,13/10/13,13/10/13,"Canceling, postponing, stalling delaying anything",,,,,,NP,,None,,
Theme,DEMOCRACY,13/10/13,13/10/13,"Actual mention of the term ""democracy""",,,"Representative Democracy.Parliamentary government,Constitutional Democracy,Epistocracy,Parliamentary System",https://www.coe.int/en/web/compass/democracy,,"Equality, Autonomy","Equality, Autonomy",None,,
Theme,DISABILITY,20/02/14,20/02/14,"Disability, disabled, handicapped.",,,"Visually Impaired,Cognitive Disability,Mentally Disabled,Emotional Disturbance,Physical impairment ",https://www.doe.mass.edu/sped/links/pi.html,,None,None,None,,
Theme,DISCRIMINATION,13/10/13,13/10/13,"Racism, homophobia, xenophobia, etc",,,"Intolerence, Racism",https://www.inclusion.gob.es/oberaxe/en/publicaciones/documentos/documento_0013.htm,,"Political Affiliation, Constructed Vulnerability",,Intolerence,,
Count,DISPLACED,25/10/13,25/10/13,"This category counts mentions of people being displaced - see REFUGEES for counts of refugees, forced migration, and related",,,,,Not Valid ,NP,,None,,
Theme,DRONE,20/02/14,20/02/14,"Drones, UAVs.",,,"Drone camera,Hobby Aircraft,Remotely Controlled Aircraft,Autonomous Flight Capabilities",https://botlink.com/blog/whats-the-difference-between-a-drone-uav-and-uas,,None,Autonomously Vehicles,None,,
Theme,DRUG_TRADE,13/10/13,13/10/13,General discussion of the drug trade in broad terms - broader than the other categories,,,"Drug Trafficking,illegal drug trade,Dark Web drug Trade",https://www.unodc.org/unodc/en/drug-trafficking/index.html,,Sale of Substances,"Drug and Business, Distribution,",None,,
Theme,ECON_BANKRUPTCY,13/10/13,13/10/13,Bankruptcy and bailouts,,,"Unsecured creditors,Company Bankruptcies,Corporate Bailouts,Liquidity Crisis",https://corpgov.law.harvard.edu/2009/04/03/bankruptcy-v-bailouts/,,Financial distress ,,None,,
Theme,ECON_BOYCOTT,01/10/14,01/10/14,Boycotts,,,"Human rights,economic pressure,anti-war movement,institutions,political opponents,serious violations,Indigenous rights",https://2001-2009.state.gov/r/pa/ho/time/qfp/104481.htm,,"Protests,Social Action,Civil rights,Politics,Financial constraints  ","Protests,Social Action,Civil rights,Politics,Financial constraints",None,,
Theme,ECON_COST_OF_LIVING,13/10/13,13/10/13,"Explicit mention of ""cost of living"", ""median wage"", etc",,,"Inflation,Median income,Collective bargaining,Labour Status ",https://www.ilo.org/wcmsp5/groups/public/---asia/---ro-bangkok/---sro-new_delhi/documents/publication/wcms_597270.pdf,,None,None,None,,
Theme,ECON_CURRENCY_EXCHANGE_RATE,13/10/13,13/10/13,"Exchange rates, foreign exchange, forex, currency fluctuation, etc",,,"         
Exchange Rates Fluctuations,Overseas equities,foreign travel, import payments,overseas remittances",https://www.investopedia.com/articles/forex/080613/effects-currency-fluctuations-economy.asp,,None,None,"foreign travel,",,
Theme,ECON_CURRENCY_RESERVES,13/10/13,13/10/13,"Currency reserves, forex reserves, dollar and euro reserves, etc",,,"Exchange Rates Fluctuations,Overseas equities,foreign travel, import payments,overseas remittances",https://www.investopedia.com/articles/forex/080613/effects-currency-fluctuations-economy.asp,,None,None,foreign travel,,
Theme,ECON_CUTOUTLOOK,01/10/14,01/10/14,Cutting economic outlook,,,"Inflation,Recession",https://www.forbes.com/sites/jonathanponciano/2022/10/11/worst-is-yet-to-come-imf-cuts-economic-outlook-and-warns-global-inflation-still-hasnt-peaked/?sh=577651fa2b05,,Global growth,None,None,,
Theme,ECON_DEBT,26/04/14,26/04/14,Discussion of debt,,,,file:///Users/tweshadesai/Downloads/conf10e.pdf,,None,"Investor,Trader,Transaction Cost, Economic stabilization,Financing Activities",None,,
Theme,ECON_DEREGULATION,13/10/13,13/10/13,Economic deregulation,,,Corporate Restrictions,https://corporatefinanceinstitute.com/resources/knowledge/other/deregulation/,,Transparency,Monopolies,None,,
Theme,ECON_EARNINGSREPORT,13/10/13,13/10/13,"Earnings reports, etc",,,"Company's Profitability,Forecasting Models",https://www.investopedia.com/terms/e/earnings-announcement.asp,,None,Quarterly,None,,
Theme,ECON_ENTREPRENEURSHIP,13/10/13,13/10/13,"Entrepreneurship, venture capital, seed funding, angel investors, etc",,,Profitable Margins,https://corporatefinanceinstitute.com/resources/equities/private-equity-vs-venture-capital-vs-angel-seed/,,None,"Investors, Stable Cash flow",None,,
Theme,ECON_FOREIGNINVEST,01/10/14,01/10/14,Foreign investment,,,"Global Financial Crisis, Policy Recommendations,Domestic Investment",https://www.imf.org/external/pubs/ft/fandd/2001/06/loungani.htm,,None,"Financial transactions, Investment",None,,
Theme,ECON_FREETRADE,01/10/14,01/10/14,Free trade,,,,,Not Valid ,NP,,None,,
Theme,ECON_HOUSING_PRICES,13/10/13,13/10/13,"Housing prices, real estate, and other explicit discussion of property",,,"Realtor,Commercial real estate,Estate Agency, Property Management, Buyer's Agent, Fair Housing ",https://www.nar.realtor/fair-housing,,None,Insurance,None,,
Theme,ECON_INFORMAL_ECONOMY,03/05/14,03/05/14,Informal economies,,,"Progressive Formalization, Non-Governmental Organizations,Grey Economy",https://www.ilo.org/global/topics/employment-promotion/informal-economy/lang--en/index.htm,,None,"Strategies, Policies, Informal trade",None,,
Theme,ECON_INTEREST_RATES,13/10/13,13/10/13,"Interest rates, benchmark rates, overnight rates, libor, etc",,,"Money Supply,Bank Interest Rates,Best Mortagage Rates, Federal Funds Rate,Refinance Rates,Fixed Rate, Inflation Rate",https://treasurydirect.gov/savings-bonds/i-bonds/i-bonds-interest-rates/,,None,Financial market,None,,
Theme,ECON_IPO,13/10/13,13/10/13,Initial Public Offerings,,,"Private Corporation,Indivudal Investors",https://www.sec.gov/files/ipo-investorbulletin.pdf,,Compensation,"Individual investors, Shareholders, Compensation, ",None,,
Theme,ECON_MONOPOLY,13/10/13,13/10/13,"Monopolies, anticompetitive practice, etc",,,"Unfair Business,Unfair methods of Competition, Restraint of trade",https://www.ftc.gov/enforcement/anticompetitive-practices,,None,Unreasonable methods,None,,
Theme,ECON_MOU,01/10/14,01/10/14,Relating to a Memorandum of Understanding,,,"Employment Contracts,Term Sheets,Business Partnership, Mutual Understanding  ",https://www.investopedia.com/terms/m/mou.asp,,None,"Agreement,  Legal forms",None,,
Theme,ECON_NATIONALIZE,13/10/13,13/10/13,"Discussion of nationalization of industry, etc",,,Government Seizing,,,Business ,Ownership,None,,
Theme,ECON_PRICECONTROL,01/10/14,01/10/14,Price controls,,,,https://www.econlib.org/library/Enc/PriceControls.html,,"Mechanism, Rationing","Mechanism,Government Enforcement,Inflationary Monetary,Rationing",None,"price floor, price ceiling, affordability , free market, market disruption",https://www.investopedia.com/terms/p/price-controls.asp
Theme,ECON_REMITTANCE,04/05/14,04/05/14,Remittance,,,,https://www.migrationdataportal.org/themes/remittances,,Transfer,"Money,Goods,Migrants,Families,Transfer, friends,Origin,Countries",None,"money transfer, foreign worker transfer",https://www.investopedia.com/terms/r/remittance.asp
Theme,ECON_STOCKMARKET,13/10/13,13/10/13,"Any discussion of a stockmarket, NYSE, FTSE, etc, also discussion of government bonds, etc",,,,,Repeated,NP,,None,,
Theme,ECON_SUBSIDIES,13/10/13,13/10/13,Economic subsidies,,,Trade Subsidies,https://www.economicshelp.org/blog/915/economics/effect-of-government-subsidies/,,Lower Price,"Unemployment ,Recission, Lower Price, Higher Quantities",None,,
Theme,ECON_TAXATION,05/05/14,05/05/14,Taxation,,,"Tax Preparation,Tax Planning, Labour Income ",https://www.britannica.com/topic/taxation,,Insurance,"Insurance,Financial Planning,Revenue, Government expenditures",None,,
Theme,ECON_TRADE_DISPUTE,13/10/13,13/10/13,"Trade disputes, antidumping, etc",,,"Unfair Business,Unfair methods of Competition",https://www.ftc.gov/enforcement/anticompetitive-practices,,None,"Unreasonable methods, Restraints of trade",None,,
Theme,ECON_UNIONS,13/10/13,13/10/13,"Discussion of unions, unionization, shop stewards, etc",,,"Corporate Sustainabiblity Due Diligence Directive, Neighbourhood and Enlargement Neighborhoods, ",https://policy.trade.ec.europa.eu/development-and-sustainability/sustainable-development_en?wt-search=yes,,None,,None,,
Theme,EDUCATION,13/10/13,13/10/13,"Teachers, schools, madrassas, yeshivas, professors, education in general",,,"ESD (Education for Sustainability Development), UN Transforming Education Summit, Thematic Action Track, Millenium Development Goals Agenda, Global Action Programme on Education for Sustainable Development",https://www.unesco.org/en/education/sustainable-development/esd-net,,None,,None,,
Theme,ELECTION,13/10/13,13/10/13,Elections of any kind,,," UN General Assembly, Member States, Green Political Parties, Global Greens Network, Green Belt Movement, electoral gains",https://www.cfr.org/backgrounder/how-green-party-success-reshaping-global-politics,,None,,None,,
Theme,ELECTION_FRAUD,13/10/13,13/10/13,"Election fraud, from ballot stuffing to vote rigging",,,"parametric detection tools, data representation, systematic election irregularities, incremental fraud probability, extreme fraud probability",https://www.pnas.org/doi/10.1073/pnas.1210722109,,None,,None,,
Theme,ENV_BIOFUEL,13/10/13,13/10/13,Biofuels,,,"demand for biofuels, deadweight losses, Renewable Fuel Standard (RFS), National Center for Environmental Economics (NCEE), Second/third generation Biofuels, renewable feedstocks, Flexible Fuel vehicles, exhaustible resource depletion","https://www.epa.gov/environmental-economics/economics-biofuels#:~:text=In%20contrast%20to%20fossil%20fuels,in%20theory%2C%20be%20sustained%20indefinitely.",,None,,None,,
Theme,ENV_CARBONCAPTURE,13/10/13,13/10/13,Carbon capture/sequestration,,,"Geologic carbon sequestration, Biologic carbon sequestration, geologic basins, tertiary recovery, vegetation, woody products, aquatic environments, soils",https://www.usgs.gov/faqs/whats-difference-between-geologic-and-biologic-carbon-sequestration,,None,,"vegetation, soils",,
Theme,ENV_CLIMATECHANGE,13/10/13,13/10/13,Discussion of climate change and global warming,,,"clicktivism, social media environmental activism, Environmental Sensing Networks, effects of climate change, dependence on fossil fuels, investing in renewables, use of geotags",https://www.weforum.org/agenda/2016/04/can-social-media-help-to-save-the-environment,,,,None,,
Theme,ENV_COAL,13/10/13,13/10/13,Coal power,,,"coal pledge, coal assets, coal capacity, coal power plants, decommisiioning of coal power plants, coal power employees, ",https://www.weforum.org/agenda/2022/03/a-cleaner-life-for-coal-power-plants/,,None,,None,,
Theme,ENV_DEFORESTATION,21/04/14,21/04/14,Deforestation and clear cutting,,,"deforestation due to cattle ranching, deforestation caused by palm oil, deforestation caused by soybean production, deforestaion due to wood products,Collaborative Partnership on Forests, Global Landscapes Forum, Green Finance for Sustainable Landscapes",https://www.un.org/esa/forests/wp-content/uploads/2021/10/CPF-brochure-COP26-flagship-initiatives.pdf,,None,,None,,
Theme,ENV_FISHERY,16/04/14,16/04/14,Discussion of fisheries and fish hatcheries,,,"aquaculture, farmed fish, commercial fisheries, recreational fishing, artificial breeding, subsistence fishing ",https://www.fisheries.noaa.gov/node/52171,,,None,None,,
Theme,ENV_FORESTRY,20/04/14,20/04/14,Foresty and the logging industry,,,"lumberjacks, modern logging, toxic air pollutants from industrial development, ",https://www.epa.gov/regulatory-information-sector/forestry-and-logging-sector-naics-113,,,"pine, forests, timber, wood products, wood fiber",None,,
Theme,ENV_GEOTHERMAL,13/10/13,13/10/13,Geothermal,,,"heat extraction, geothermal technologies, heating demand, dry steam plants, geothermal fluid, heat exchangers, binary cycle technology",https://www.irena.org/Energy-Transition/Technology/Geothermal-energy,,,None,None,,
Theme,ENV_GREEN,13/10/13,13/10/13,"Green, renewable, and alternative energy",,,"bioenergy, hydropower, wind energy, hydroelectric dams, photovoltaic (PV), floating solar farms, floatovoltaics, tidal and wave energy, solar windows",https://www.energy.gov/eere/renewable-energy,,,"marine, hydrogen",None,,
Theme,ENV_HYDRO,13/10/13,13/10/13,Hydropower,,,"hydropower turbine, kinetic energy, energy reservoir, run-of-the-river systems, potential energy ",https://www.energy.gov/eere/water/hydropower-basics,,,"electric power, offshore, pumped storage",None,,
Theme,ENV_METALS,17/04/14,17/04/14,"Core metals like gold, platinum, silver, copper, iron",,,"mineral resources, nonmetallic resources, gangue minerals",https://www2.tulane.edu/~sanelson/eens1110/minresources.htm,,,"nickel, chromium, aluminum, sand, gravel, gypsum, halite, uranium, dimension stone,",None,,
Theme,ENV_MINING,18/04/14,18/04/14,Mining operations,,,"mining methods, in-situ mining, mining uranium, mine development, drilling mine, blasting mine, extraction of minerals, crushing rocks, screening",https://www.americangeosciences.org/critical-issues/faq/what-are-main-mining-methods,,,"underground, open surface (pit), placer",None,,
Theme,ENV_NATURALGAS,13/10/13,13/10/13,Natural gas for power and heating,,,"gas exploration, drilling, hydraulic fracturing, hydrofracking, carbon footprint",https://www.eia.gov/energyexplained/natural-gas/natural-gas-and-the-environment.php,,,"carbon monoxide, sulfur dioxide, nitrogen oxides, methane,",None,,
Theme,ENV_NUCLEARPOWER,13/10/13,13/10/13,Nuclear power for energy generation (excludes nuclear weapons),,,"radioactive waste, reactor fuel, power plant systems, uranium mill tailings, ionizing radiation",https://www.eia.gov/energyexplained/nuclear/nuclear-power-and-the-environment.php,,,"radiation, cosmic rays, radon gas, ARS",None,,
Theme,ENV_OIL,13/10/13,13/10/13,Oil power,,,"petroleum products, natural gas leases, gas wells, oil extraction, oil and gas health information ",https://www.eia.gov/energyexplained/oil-and-petroleum-products/oil-and-the-environment.php,,,"crude oil, rigs, loose emulsion",None,,
Theme,ENV_OVERFISH,22/04/14,22/04/14,Overfishing,,,"conserve ecosystems, conserve wildlife, marine threat,  juvenile fish, poor fishing management, illegal fishing",https://www.edf.org/oceans/overfishing-most-serious-threat-our-oceans,,,"subsidies, sea turtles, cetaceans, bycatch",None,,
Theme,ENV_POACHING,01/10/14,01/10/14,Poaching,,,"poaching of elephants, animal trafficking, smuggled ivory, illegal animal shooting, animal population decimation, illegal trade of ornamental plants",https://education.nationalgeographic.org/resource/poaching,,,None,None,,
Theme,ENV_SOLAR,13/10/13,13/10/13,Solar power,,,"solar photovoltaic, solar thermal panels, solar dealer, kilowatt-hour energy measure, renewable energy, solar cells, electric grid, use of inverter. peak sun hours",https://www.energy.gov/eere/solar/how-does-solar-work,,,"kWh, PV, BOS, balance of system",None,,
Theme,ENV_SPECIESENDANGERED,01/10/14,01/10/14,Discussion of endangered species,,,"loss of habitat, loss of genetic variation, Endangered Species Coalition, vulnerable African elephants, endangered black rhino                    critically endangered species",https://education.nationalgeographic.org/resource/endangered-species,,,None,None,,
Theme,ENV_SPECIESEXTINCT,01/10/14,01/10/14,Discussion of extinction,,,"animal extinctions, plant species extinctions, sixth mass extinction, Entomologists-issued warnings",https://www.ncbi.nlm.nih.gov/books/NBK232371/,,,None,None,,
Theme,ENV_WATERWAYS,15/04/14,15/04/14,Waterways,,,"polluted waterways, swiftwater spill, shoreline cleanup,woodland restoration, erosion waterway ptotection, grass waterway benefits",https://www.smithtownny.gov/118/Environment-Waterways,,,"maritime,",None,,
Theme,ENV_WINDPOWER,13/10/13,13/10/13,Wind power,,,"wind turbines, rotational energy, windmills, wind farm, delivery cabin-station, wind generators",https://www.nrel.gov/research/re-wind.html,,,underground cable duct,None,,
Theme,ETH_INDIGINOUS,01/10/14,01/10/14,s,,,"aboriginal, native, Maori or American Indian, First Nations, Mohawk Nation, Métis, Inuit, Indians",https://www.worldbank.org/en/topic/indigenouspeoples,,,None,None,,
Count,EVACUATION,13/10/13,13/10/13,Mentions of evacuations,,,"good samaritan shelters, fire evacuation, evacuation warning, shelter-in-place order, fire stations, patient evacuee, animal evacuee",https://www.nga.org/wp-content/uploads/2018/08/GovGuideMassEvacuation.pdf,,,None,None,,
Theme,EXHUMATION,13/10/13,13/10/13,"Discussion of mass graves, exhumation, unearthing of bodies, human remains, etc",,,"thermochronology, orogenesis, topography, tectonostratigraphic domains, Longmen Shan",https://www.frontiersin.org/articles/10.3389/feart.2021.688374/full,,,buried,None,,
Theme,EXILE,13/10/13,13/10/13,Actual mention of exile in the text,,,"indigenous North African activist, indigenous dispossession, genocide, non-Native activists",https://intercontinentalcry.org/indigenous-settler-decolonization-and-the-politics-of-exile/,,,None,None,,
Theme,EXTREMISM,13/10/13,13/10/13,"Discussion of extremists, both political (farright/farleft/anarchist), groups like skinheads, and terms like zealot, ""fringe element"", etc",,,"neo-Nazi beliefs, radical-rights, Klansman, anti-foreigner, anti-Semitic, anti-gay, english skinheads",https://www.dissentmagazine.org/article/no-cheers-anarchism,,,"democratic, rebellions, racisism,",None,,
Theme,FIREARM_OWNERSHIP,25/04/14,25/04/14,Gun rights,,,"mass shootings, bipartisan gun safety bill, shooting at a synagogue, gun control legislation, second amendment freedoms, gun ownership",https://www.opensecrets.org/news/issues/guns,,,None,None,,
Theme,FOOD_SECURITY,13/10/13,13/10/13,"Famine, food crisis, malnourishment, food prices",,,"food prices, marginal food security, household food insecurity access scale, household hunger scale, coping strategies index",https://www.ifpri.org/topic/food-security,,,"CSI, environmental stressors",None,,
Theme,FOOD_STAPLE,27/11/13,27/11/13,"Captures explicit mention of terms like ""food staple""",,,"edible plants, industrial crops, grains, micronutrients, macronutrients, legumes, nutritional needs, vegetables/animal products, pseudocereal grain ",https://education.nationalgeographic.org/resource/wbt-staple-food-crops-world,,,none,None,,
Theme,FREESPEECH,13/10/13,13/10/13,Freedom of speech,,,"first amendment, flag burning",https://www.uscourts.gov/about-federal-courts/educational-resources/about-educational-outreach/activity-resources/what-does,,,"seek information and ideas, impart information and ideas, express your views aloud",None,,
Theme,FUELPRICES,20/02/14,20/02/14,"Cost of fuel, energy, heating.",,,"kerosene prices, average heating expenditures, residential retail heating fuel price, heating oil",https://www.nyserda.ny.gov/researchers-and-policymakers/energy-prices/home-heating-oil/average-home-heating-oil-prices,,,none,None,,
Theme,GEN_HOLIDAY,01/10/14,01/10/14,General discussion of holidays,,,"public holidays, Memorial Day, federal holidays, floating holidays, non-essential government employees, observe federal holidays, Independence Day, Monday July 4th, Labor Day, Columbus Day, Christmas Day, Thanksgiving Day, Veterans Day ",https://www.ca2.uscourts.gov/clerk/calendars/federal_holidays.html; https://www.federalpay.org/holidays,,,prevent burnout,None,,
Theme,GENDER_VIOLENCE,04/11/13,04/11/13,Gender violence,,,"human rights violations, physical or sexual abuse, stalking, human trafficking, elder abuse, child marriage, female genital mutilation, sexual exploitation, female infanticide",https://www.unhcr.org/en-us/gender-based-violence.html,,,none,stalking,,
Theme,GENERAL_GOVERNMENT,13/10/13,13/10/13,"General discussion of government, congress, parliament, republic, regime, etc",,,"legislative branch, lower and upper houses, political parties, parliamentary systems, presidential systems, parliamentary democracy, constitutional monarchies, parliamentary republics",https://borgenproject.org/how-a-parliamentary-system-works/,,,none,None,,
